"id","name","displayName","code","parent_id","parent_name","lat","lon"
"SLjBTiKbCXH","GDO-LUQ-A","GDO-LUQ-A","GDO-LUQ-A","AJ02aW2X6A3","Luuq",3.620590022566,42.676870576618
"MwgAnn0ofdU","GDO-LUQ-AA","GDO-LUQ-AA","GDO-LUQ-AA","AJ02aW2X6A3","Luuq",3.65982007018072,42.796233040147
"DBfwbqeUoOI","GDO-LUQ-AB","GDO-LUQ-AB","GDO-LUQ-AB","AJ02aW2X6A3","Luuq",3.62248011085695,42.5846984380115
"lyLIEPZ7cLI","GDO-LUQ-AC","GDO-LUQ-AC","GDO-LUQ-AC","AJ02aW2X6A3","Luuq",3.70299607184972,42.4744419661504
"S2zN2CUq8JK","GDO-LUQ-AD","GDO-LUQ-AD","GDO-LUQ-AD","AJ02aW2X6A3","Luuq",3.71474167257066,42.2655134309487
"drox5p4PGOA","GDO-LUQ-AE","GDO-LUQ-AE","GDO-LUQ-AE","AJ02aW2X6A3","Luuq",3.6450356146251,42.2577433138775
"f2PqLccdTlV","GDO-LUQ-B","GDO-LUQ-B","GDO-LUQ-B","AJ02aW2X6A3","Luuq",3.51990149919787,42.6992452552612
"G9vfn67GjbZ","GDO-LUQ-BA","GDO-LUQ-BA","GDO-LUQ-BA","AJ02aW2X6A3","Luuq",3.61077045486026,42.6863566479032
"wURGHcpcanW","GDO-LUQ-BB","GDO-LUQ-BB","GDO-LUQ-BB","AJ02aW2X6A3","Luuq",3.62825883424215,42.2426146488824
"UB0SZur7PVb","GDO-LUQ-C","GDO-LUQ-C","GDO-LUQ-C","AJ02aW2X6A3","Luuq",3.79370581995105,42.190705061075
"dvE9uc9vFHS","GDO-LUQ-D","GDO-LUQ-D","GDO-LUQ-D","AJ02aW2X6A3","Luuq",3.93633610628263,42.7753682871759
"apzI3JdLJEM","GDO-LUQ-E","GDO-LUQ-E","GDO-LUQ-E","AJ02aW2X6A3","Luuq",3.75948089922032,42.7158869913634
"Fws3wAMivBm","GDO-LUQ-F","GDO-LUQ-F","GDO-LUQ-F","AJ02aW2X6A3","Luuq",4.22009642106895,42.6791163896633
"gkXH0v5zqhW","GDO-LUQ-G","GDO-LUQ-G","GDO-LUQ-G","AJ02aW2X6A3","Luuq",3.73777479001618,42.552319147024
"q5QNXWoahGG","GDO-LUQ-H","GDO-LUQ-H","GDO-LUQ-H","AJ02aW2X6A3","Luuq",3.74451905183398,42.6698786787547
"fquREwBtwJW","GDO-LUQ-I","GDO-LUQ-I","GDO-LUQ-I","AJ02aW2X6A3","Luuq",3.52963765165669,42.7481348367819
"aDR43OVcR8X","GDO-LUQ-J","GDO-LUQ-J","GDO-LUQ-J","AJ02aW2X6A3","Luuq",3.84117342078708,42.5735471156251
"C7DgOgwzyw2","GDO-LUQ-K","GDO-LUQ-K","GDO-LUQ-K","AJ02aW2X6A3","Luuq",4.10154953092742,42.9699167132346
"myFMLdcUDTz","GDO-LUQ-L","GDO-LUQ-L","GDO-LUQ-L","AJ02aW2X6A3","Luuq",3.6731298489521,42.3230610157706
"yTyy0gyQ7JN","GDO-LUQ-M","GDO-LUQ-M","GDO-LUQ-M","AJ02aW2X6A3","Luuq",3.51726953172737,42.7660207008791
"Du1XmJYkPp5","GDO-LUQ-N","GDO-LUQ-N","GDO-LUQ-N","AJ02aW2X6A3","Luuq",4.11974595445418,42.8558026392101
"JBzU05n5nyC","GDO-LUQ-O","GDO-LUQ-O","GDO-LUQ-O","AJ02aW2X6A3","Luuq",4.21275239857606,42.7831118794746
"Yw4AJJjolxB","GDO-LUQ-P","GDO-LUQ-P","GDO-LUQ-P","AJ02aW2X6A3","Luuq",3.59983844015533,42.4248520077753
"uA9WwOL3B7z","GDO-LUQ-Q","GDO-LUQ-Q","GDO-LUQ-Q","AJ02aW2X6A3","Luuq",3.49848053283725,42.4960469935313
"jEr64DB1sdb","GDO-LUQ-R","GDO-LUQ-R","GDO-LUQ-R","AJ02aW2X6A3","Luuq",3.7497792565368,42.1669713536849
"uFg3W9aneIE","GDO-LUQ-S","GDO-LUQ-S","GDO-LUQ-S","AJ02aW2X6A3","Luuq",4.12012943859491,42.8304893768625
"dnbuTZxzrfE","GDO-LUQ-T","GDO-LUQ-T","GDO-LUQ-T","AJ02aW2X6A3","Luuq",4.07101300265477,42.737027340249
"AabPewmPEJ8","GDO-LUQ-U","GDO-LUQ-U","GDO-LUQ-U","AJ02aW2X6A3","Luuq",3.56894671645101,42.6003560608252
"mnF9HIhhsox","GDO-LUQ-V","GDO-LUQ-V","GDO-LUQ-V","AJ02aW2X6A3","Luuq",3.54044402377049,42.548113991411
"ClzL2hZUbed","GDO-LUQ-W","GDO-LUQ-W","GDO-LUQ-W","AJ02aW2X6A3","Luuq",4.09643740844537,42.4324705925359
"XxieAVJQAyc","GDO-LUQ-X","GDO-LUQ-X","GDO-LUQ-X","AJ02aW2X6A3","Luuq",4.05533280228962,42.9453996154515
